name,def,category
계리적 손익(Actuarial gains or losses) ,계리적 가정에 근거하여 계산된 퇴직급여의 추정치와 실제 퇴직급여액의 차액 ,퇴직연금
기준가격 ,"기준가격이란 수익증권의 시가를 말하며, 구체적으로는 투자신탁재산에 편입되어 있는 주식, 공사채의 시가상당액에 여유금과 배당금, 이자, 매매익, 평가익 등을 가산하고 여기에 투자신탁재산에서 부담되는 제경비, 신탁보수와 매매손, 평가손 등을 공제한 후 수익증권의 발행 총좌수로 나누어 1,000좌단위(상장형은 1좌 단위)로 환산하여 산출한 가격을 말한다. 
다시 말하면 신탁계정원장에 계상된 자산총액에서 부채총액을 공제하고 유가증권 평가손익을 가산한 금액을 잔존수익증권의 총좌수로 나누어 1,000좌 단위(상장형은 1좌 단위)로 환산한 금액을 말한다",퇴직연금
401k 제도 ,"미국의 확정기여형(DC) 퇴직연금제도의 일종. 401(k)란 명칭은 이 제도가 미국 내국세법(IRC) 401조 k항에 근거한 
퇴직저축제도이기 때문임. 이 조항에 따르면 근로자는 급여에서 소득세를 공제하기 전 일정 부분을 저축함으로서 소득세를 적게 낼 수 있으며, 은퇴 후 인출 시에는 낮은 세율을 적용받는 혜택을 누리며 노후를 준비할 수 있음   ",퇴직연금
미적립연금제도(Unfunded pension plans),"현재의 사용자나 가입자로부터 연금지급을 위한 부담금을 직접 조달하는 연금제도로서 부과방식(PAYG; Pay-As-You-Go)으로 불리기도 함. 
시재금 등의 운영비용이나 일정 부담금의 이연으로 인해 관련자산의 보유가 가능",퇴직연금
부담금,"퇴직급여재원 마련을 위해 납입하는 금액으로, 확정기여형(DC)의 경우 근로자의 추가 부담금이 있음. 
확정기여형(DB)의 경우 기업이 납입하는 부담금은 다음과 같이 구분된다. 
①표준 부담금: 장래의 가입기간에 해당하는 급여지금을 위하여 계산되는 부담금 
②보충 부담금: 과거근무기간분에 대한 급여지급을 위하여 계산되는 부담금 
③특별 부담금: 적립금이 법정 적립수준을 미달하는 경우 이를 충당하기 위하여 계산되는 부담금",퇴직연금
불특정금전신탁 ,고객(위탁자)이 신탁자금의 운용방법을 특정하지 아니하고 수탁자에게 위임하는 신탁,퇴직연금
소득대체율,"가입기간 중 평균소득을 현재가치로 환산한 금액 대비 연금지급액을 말하는데 일반적으로 안락한 노후보장을 위한 
소득 대체율은 65~70%",퇴직연금
수급권(Vested Rights) ,퇴직연금 제도에서는 퇴직급여를 받을 수 있는 법적권리를 말하며 수급자격이라고도 함,퇴직연금
수익자 ,"신탁재산에서 발생하는 이익을 향수하는 자. 신탁법상 수익자의 자격에는 제한이 없으며 민법상의 권리능력이 있는 자는 모두 수익자가 될 수 있다. 
수익자로 지정된 사람은 신탁이익을 받는 것을 승낙한 것으로 추정되므로 수익자는 별다른 의사표시를 하지 않아도 당연히 신탁이익을 받는다",퇴직연금
수익증권 ,투자신탁의 수익권을 증권으로 표창한 것,퇴직연금
수탁자 ,위탁자로부터 신탁을 인수하여 신탁 목적에 따라 신탁재산을 관리 또는 처분하는 자를 말한다,퇴직연금
시산,"퇴직연금 규약과 예정 기초율을 토대로 퇴직급여를 예측하고 이렇게 산출된 퇴직급여의 지급을 보장하기 위해 
장기적으로 안정적이며 평준화된 부담금을 산출하는 과정",퇴직연금
계산기초율 ,"확정급여형(DB) 퇴직연금 부담금을 계산하는데 사용하는 전제조건으로, 예정이율, 예정사망률, 예정 퇴직률, 
예정승급률 등이 있음 ",퇴직연금
신탁,"본인 또는 타인을 위하여 자기 재산을 믿을 수 있는 제3자(수탁자)에게 맡겨서 관리, 보전, 처분하게 하는 재산의 관리제도",퇴직연금
신탁보수 ,"위탁자 및 수탁자에게 신탁업무 수행의 대가로서 신탁재산에서 지불되는 보수. 신탁보수는 위탁자 보수와 수탁자 보수로 
나누어지며 그 배분은 양자의 협의에 따라 결정",퇴직연금
연금(annuity) ,"연금수령자에게 종신 또는 일정(확정)기간 동안 (매월, 분기별, 반기별, 연도별) 고정 또는 변동방식의 급여지급을 보장하는
일종의 재무계약으로서, 급여의 지급은 납입기간 종료후 곧 바로 시작되거나 사전에 정해진 특정연령 도달시점에서 시작",퇴직연금
연금자산 ,연금제도에 관련된 모든 형태의 투자가치,퇴직연금
연금계리방식 ,"수학, 확률, 통계적 방법을 응용하여 보험, 연금, 퇴직연금 등에 대한 부담금을 계산하는 방식. 
보험, 연금과 관련된 미래의 위험도를 계산하기 위해 수학, 확률, 통계 및 위험이론을 응용하여 미래의 수익가치에 대한 지표를 산출한다.",퇴직연금
연금계리사(actuary) ,"재무적 관점에서 연금제도의 지급여력을 파악하기 위해 일반적으로 인정되는 연금계리 및 연금회계기준에 따라 
현재와 미래의 연금부채를 평가하고 이에 대한 책임을 부담하는 개인 또는 법인",퇴직연금
예정 사망률 ,"가입자와 (이미 퇴직연금제도를 탈퇴한) 연금수급자의 사망발생비율을 예측한 것으로, 가입자의 자격을 상실하는 사유로서 추계에 사용될 뿐 아니라, 연금수급자의 급부 종료시기에 관한 추계에도 사용된다. 
예정 사망률은 성별, 연령별로 산정되는데, 보통 확정급여형 퇴직연금제도에서는 대상집단의 실적에 기초한 통계치 대신에 국민 전체를 대상으로 산정한 사망률을 보정하여 퇴직연금사망률로 사용하고 있다.",퇴직연금
예정 승급률 ,"가입자의 급여가 장래 어느 정도의 비율로 상승할 것인가를 추계한 비율. 퇴직급여가 장래기준 급여의 비례인 경우 근로자의 급여가 어느 정도의 비율로 증가할 것인가를 계수화 한 것. 
근로자 300인 이상 기업에 적용하는 경험 승급률과 근로자 300인 미만기업에 적용하는 참조 승급률이 있음. 
①경험 승급률(Experienced salary scale): 예정승급률의 종류로 단체로부터 받은 근로자 데이터의 생년월일, 입사일, 기준급여 등을 활용, 연령별 인원 및 기준급여를 집계하여 연령별 기준급여를 추정한 후, 기준연령의 추정 급여로 나누어 산출한 연령별 급여지수. 자료의 축적인 가능한 근로자 300인 이상 기업에 적용. 
②참조 승급률(Reference salary scale): 예정 승급률의 종류로서 해당기업의 승급률 산출을 위한 기초 통계량이 부족할 경우, 경험 승급률을 산출하지 아니하고 적용하는 보험개발원에서 산출한 공통의 승급률. 근로자 300인 미만 기업에 적용.",퇴직연금
예정 퇴직률 ,"연령별로 향후 1년간에 퇴직 확률을 정한 것. 회사 또는 업종에 따라 차별되는 특성을 가짐. 
근로자 300인 이상 기업에 적용하는 경험 퇴직률과 근로자 300인 미만 기업에 적용하는 참조 퇴직률이 있음. 
①경험 퇴직률 (Experienced retirement rate): 예정퇴직율의 한 종류로서 장래급부 및 부담금 수입을 계산하기 위해서 근로자가 매년 어떤 비율로 퇴직할 것인가를 예측하는 기초율. 자료의 축적이 가능한 근로자 300인 이상 기업의 경우 이용. 
②참조 퇴직률(Reference retirement rate) 예정 퇴직률의 종류로서 해당 기업의 퇴직률 산출을 위한 기초 통계량이 부족할 경우, 경험 퇴직률을 산출하지 아니하고 적용하는 보험개발원에서 산출한 공통의 퇴직률. 근로자 300인 미만인 기업의 경우에 사용.",퇴직연금
계약이전 ,사용자 및 근로자 대표의 협의에 의거 퇴직연금계약의 전부 도는 일부를 다른 연금사업자에게 변경하는 절차,퇴직연금
예측단위 적증방식(Projected Unit Credit) ,"재정방식의 하나로서 가입자 퇴직시의 급여를 예상하여 각 가입연도에 대응하는 단위 기간으로 할당하고, 각 단위의 현가 상당액을 가입기간 중의 각 연도에 표준 부담금으로 납입하는 방식. 
제도의 안전성 관점에서 운영되는 방식으로 기간별 채무의 효율적 배분이라는 관점에서 회계기준에서 주로 적용되는 발생급부방식 중 대표적인 방식임.",퇴직연금
요구 수익률 ,"투자자가 자금의 투자나 공여에 대해 요구하는 최소한의 수익률, 혹은 기업의 투자 결정에 있어서 어떤 투자안이 받아들여 지기위해서 이 투자안이 벌어들여야하는 최소 수익률.",퇴직연금
운용관리수수료 ,"사용자가 퇴직연금의 운용관리 업무를 위탁한 퇴직연금사업자에게 퇴직연금 제도설계, 기록관리업무 등의 대가로 지급하는 수수료",퇴직연금
위탁자 ,신탁재산의 소유자로서 신탁을 설정하고 수탁자에게 특정한 목적에 따라 재산권을 이전 또는 처분하는 자,퇴직연금
유동성 ,"금융기관의 유동성(Liquidity)이란 자산의 증가에 층당할 자금을 조달하거나 기한이 도래한 채무를 상환할 능력을 의미하는데, 금융자산의 처분시 발생하는 유동성뿐만 아니라 자금조달측면에서 발생하는 유동성 문제를 동시에 포괄하는 개념",퇴직연금
임금채권보장기금제도 ,"퇴직한 근로자가 기업의 도산으로 임금 등을 지급받지 못한 경우, 퇴직전 체불된 3개월분 임금과 3년치 퇴직금을 기금에서 지급하여 근로자의 기본적인 생활안정을 도모하기 위해 도입된 기금제도",퇴직연금
자동 재분배 ,투자성과에 따라 변동된 펀드 편입비율을 고객이 처음 설정한 비율로 자동 재분배해 안정적인 투자가능,퇴직연금
자산관리 ,"계좌의 설정 및 관리, 부담금 수령, 적립금의 보관 및 관리, 운용지시의 이행 및 퇴직급여지금 등의 업무를 담당하는 기관을 자산관리기관이라 하며 자산관리 계약으로 신탁계약 또는 보험계약이 있음",퇴직연금
자산관리수수료 ,사용자 또는 가입자가 퇴직연금의 자산관리 업무를 위탁한 퇴직연금사업자에게 자산의 보관 및 관리 등에 대한 대가로 지급하는 수수료,퇴직연금
자산배분 ,포트폴리오를 구성하는데 있어서 각 투자대상별로 그 비중을 결정하는 것. 리스크를 분산하여 효율적인 자산운영을 가능하게 하는 것이 그 특징,퇴직연금
과거근무채무 ,"퇴직연금제도 설립전의 가입자의 근무기간을 연금급여의 계산에 산입함으로써 발생하는 적립부족, 또는 연금액의 인상(급여개선)을 행함으로써 발생한 적립부족",퇴직연금
장부상적립제도 ,"연금급여의 지급을 위해 사용자의 재무제표(대차대조표)에 충당금 또는 준비금 형태로 적립하는 제도. 
장부상 적립한  자산을 별도계정으로 운영할 수 있으나, 반드시 법적으로 강제되는 것은 아님. 대부분의 OECD 회원국은 이러한 제도를 금지하고 있음.",퇴직연금
재계산,"확정급여형(DB)퇴직연금 부담금 산출시 적용하는 기준율을 변경하여, 향후 납입하는 부담금을 조정함으로써 연금재정이 적정하게 적립되도록 하는 장치 
①정기재계산: 일정기간(5년 이내)마다 정기적으로 실시 
②임시재계산: 제도변경, 기업의 인수/합병 또는 재정결산결과 등으로 재계산이 필요하게 된 경우 신속하게 실시",퇴직연금
재정검증 ,"확정급여형(DB)퇴직연금 제도의 적립금이 법에서 정한 수준 이상으로 적립되고 있는지 매 사업년도 말에 검증하는 것. 
향후에 퇴직급여가 무리없이 지급될 수 있도록 적립금의 건전성을 확인하고 보완하는 것이 목적임",퇴직연금
재정결산 ,"매 사업년도마다 규약에서 정한 기준일에 연금재정의 적정성을 검증하는 결산을 말하며, 해당 시점의 연금자산과 책임준비금을 비교대조하고 잉여 또는 부족을 확정하여 연금 재정의 추이상황을 명백하게 하는 것",퇴직연금
재정방식 ,"정상 상태에 있어서의 부담금과 연금 자산의 잔고 설정 수준(즉, 언제부터 어느 정도의 부담금을 납입할 것인가)을 결정하는 방법. 적립방식이라고도 함.
①부과방식: 급여의 지급사유 발생시마다 그 발생 수준에 맞게 각출금을 조달함으로써, 적립재원이 없이 운영하는 방식을 말함. 
②퇴직시 적립방식: 퇴직자 발생시마다 총 급여 지급재원을 일시에 적립해 나가는 방식으로 """"연금원자적립방식""""이라고도 함.(공적 연금에서만 적용) 
③사전 적립방식: 장래 소요될 급부 지급 재원을 예측하여 가입자 재직 중에 분할하여 적립해 나가는 방식을 말함.(특정연령방식, 예측 단위 적증방식 등이 있음) ",퇴직연금
적립금 ,근로자의 퇴직급여 지급을 위하여 기업 또는 근로자가 납입한 부담금으로 적립된 자금,퇴직연금
적립수준비율 ,장래 가입자에게 지급하여야 할 연금부채에 대한 연금자산의 적립정도,퇴직연금
정상퇴직연령 ,가입자에게 연금급여 수령 자격이 주어지는 연령,퇴직연금
최종평균소득 ,확정급여형에서 연금급여를 산출하기 위해 사용되는 가입자의 소득 (퇴직 직전 마지막 일정기간의 소득을 주로 사용),퇴직연금
통산(Portability) ,중간 퇴직 또는 이직시 다른 직장의 퇴직연금제도로 이전하거나 개인형퇴직연금에 가입하여 퇴직연금을 계속 적립해 나가는 것.,퇴직연금
과다적립 ,연금자산이 연금부채를 초과하여 연금재정에 잉여금이 발생한 상황,퇴직연금
퇴직금 401K제도 ,"미국에서 회사가 직원에게 제공하는 직장 연금제도로서 1978년에 도입된 확정기여형(DC)기업연금제도의 일종. 미국 내국세법(IRC) 401조k항에 규정되었다는 이유로 401k라 불림. 
직원들이 매월 본인이 정한 일정 금액을 401K제도에서 인정하는 금융상품에 투자하면 기업에서 불입금액을 지원하고 정부는 소득세를 유예해 줌",퇴직연금
퇴직금추계액 ,각 사업년말 재직하는 근로자 전원이 사업년도 종료일에 퇴직하는 것으로 가정하였을 때 당해 기업의 현 취업규칙상에 정해진 퇴직급여 규정에 의거 근로자에게 지급하여야 할 퇴직급여의 총 합계금액,퇴직연금
퇴직급여채무 ,"①확정 급여 채무(VBO): 현시점에서 제도를 종료시킨다는 가정하에 지급해야할 금액
②누적 급여 채무(ABO): 급여 상승률을 반영하지 않고 예상 퇴직시점의 급부 현가액 중 이미 제공한 근무에 의해 발생된 부분
③예측 급여 채무(PBO): 급여 상승률을 반영하고 예상 퇴직시점의 급부 현가액 중 이미 제공한 근무에 의해 발생된 부분",퇴직연금
퇴직급여충당금 ,"기업이 퇴직금을 당해 종업원들의 재직기간중의 각 기간에 사전 분배를 하며 매기마다 일정액을 비용처리하여 회계장부상에 적립한 금액. 
이에 대한 일정부분만 손금(비용)으로 인정",퇴직연금
퇴직연금규약 ,퇴직연금제도를 설정하려는 사용자가「근로자퇴직급여보장법」에서 정하는 사항에 대해 근로자 대표의 동의를 얻어 작성하여 노동부 장관에게 신고하는 서류,퇴직연금
퇴직연금사업자 ,"퇴직연금제도의 운용관리업무 및 자산관리업무를 수행하기 위하여「근로자퇴직급여보장법」제14조의 규정에 의하여 재무건전성 및 인적, 물적 요건 등을 갖추고 노동부장관(금감위에 위임)에게 등록한 자",퇴직연금
퇴직연금컨설팅 ,"기업의 재정상태, 인사정책, 노사협의 등을 고려하여 기업에 적합한 퇴직연금제도를 설계하고, 적립방식 및 적립금 운용을 위한 상품을 제시하는 등 기업의 퇴직연금 제도 전반의 실행과 운영을 돕는 것",퇴직연금
특별계정,"보험상품의 도입목적, 상품운용방법 등이 일반상품과 크게 상이하여 보험회사로 하여금 다른 보험상품과 구분하여 별도로 관리 및 운용을 할 것을 보험관련 법규에서 지정한 것으로 계정상호간 계약자를 보호하는 것을 목적으로 설정한 것.
주요 특별계정 상품으로는 퇴직보험·세제지원연금저축·변액보험 등이 있음.",퇴직연금
특정금전신탁 ,신탁계약 또는 위탁자의 지시에 의하여 신탁자금의 운용방법이 특정되는 금전신탁,퇴직연금
특정연령방식 ,"재정방식의 하나로서 제도에 가입하는 표준적인 연령(특정연령)의 표준 부담금을 산출하여 전근로자에게 일률적으로 적용하고, 근로자별 부담금의 과부족은 과거 근무채무로 하여 보충 부담금으로 처리하는 재정방식",퇴직연금
근로자대표 ,"당해 사업에 근로자의 과반수로 조직된 노동조합이 있는 경우에는 그 노동조합. 
근로자의 과반수로 조직된 노동조합이 없는 경우에는 근로자 과반수",퇴직연금
펀드(주식형/채권형/혼합형/MMF) ,"투자자로부터 자산에 운용할 목적으로 자금등을 모은 위탁자가 그 재산을 수탁자로 하여금 당해 위탁자의 지시에 따라 투자, 운용하게 하고, 그에 따른 수익권을 분할하여 당해 투자자에게 취득시키는 것을 목적으로 함. 
①채권형: 약관 또는 정관 상 운용대상에 주식이 편입되지 아니하고 자산 총액의 100분의 60이상(또는 연평균 60%이상)을 채권(금리선물포함)으로 운용하는 상품
②주식형: 약관 또는 정관상 자산총액의 100분의 60이상(또는 연평균 60%이상)을 주식(주가지수선물옵션포함)으로 운용하는 상품
③혼합주식형 : 혼합형 중 신탁재산을 주로 주식 등에 투자하는 상품
④혼합채권형: 혼합형 중 신탁재산을 주로 채권 등에 투자하는 상품. 혼합투자신탁중 주식의 최고 편입비율이 50%이상인 경우 혼합주식형/ 편입비율이 50%미만인 경우 혼합채권형으로 구분
⑤단기금융투자(MMF): 유가증권의 운영비율 등에 대한 제한이 없고, 자산을 주로 단기성자산(콜론, CP, CD 등)으로 운용하는 상품",퇴직연금
평균임금 ,"평균임금을 산정하여야 할 사유가 발생한 날 이전 3월간에 그 근로자에 대해 지급된 임금의 총액을 그 기간의 총일수로 나눈 금액을 말함. 취업 후 3월 미만도 이에 준한다. 
단, 위 방법에 의하여 산출된 금액이 당해 근로자의 통상임금보다 저액일 경우에는 그 통상임금액을 평균임금으로 함",퇴직연금
포트폴리오 ,"주식투자에서 위험을 줄이고 투자수익을 극대화하기 위한 일환으로 여러 종목에 분산투자하는 방법. 
은행이나 투자자 등이 가지고 있는 유가증권 목록 또는 투자 자산의 집합을 뜻하기도 함",퇴직연금
Bundle ,"하나의 퇴직연금사업자가 퇴직연금 관련 운용관리 업무와 자산관리업무를 모두 제공하는 형태. 
기업에 대한 One-stop 퇴직연금서비스 제공이 가능한 것이 장점임",퇴직연금
EET 세제체계 ,부담금 납입단계와 적립금 운용단계에서 비과세 후 연금급여 수령단계에서 연금소득으로 과세하는 세제 체계,퇴직연금
ETE 세제체계 ,"부담금 납입단계에서 소득공제로 비과세하고, 적립금 운용단계에서 발생하는 투자수익에 대해 과세 후 연금급여 수령단계에서 비과세하는 세제 체계",퇴직연금
GIC(Guaranteed Investment/Interest Contract) ,가입자가 일정 만기시점(보증기간)까지 보유하는 조건으로 약속한 이율을 보증하는 보험상품,퇴직연금
Unbundle,여러 퇴직연금사업자가 퇴직연금 운용관리 및 자산관리 서비스를 제공하는 형태. 기업은 운용관리 및 자산관리 각 분야의 금융기관을 고를 수 있는 것이 장점임,퇴직연금
TEE 세제체계 ,"부담금 납입단계에서 과세하고, 적립금 운용단계에서 발생하는 투자수익 및 급여수령단계에서의 연금소득에 대해 비과세하는 세제 체계",퇴직연금
개인형퇴직연금(IRP: Individual Retirement Pension) ,퇴직연금제도에 가입한 근로자가 퇴직시 퇴직급여를 수령하기 위한 제도로 근로자의 추가 적립이 가능함. 이직을 하더라도 세제혜택을 받으면서 퇴직금을 계속 적립할 수 있는 장점이 있음. 근로자 10인 미만 기업의 경우에는 모든 근로자가 개인형퇴직연금에 가입하면 퇴직급여제도를 설정한 것으로 인정받음,퇴직연금
급여,퇴직급여제도에 의하여 근로자에게 지급되는 연금 또는 일시금,퇴직연금
고령화 사회 (Aging Society) ,"전체 인구 중 65세 이상 노인층 인구비율이 7% 이상인 사회
- 고령사회 (Aged Society)
전체 인구 중 65세 이상 노인층 인구비율이 14% 이상인 사회 
- 초고령사회 (Super-aged society) 
전체 인구 중 65세 이상 노인층 인구비율이 20% 이상인 사회",퇴직연금
공시이율,"보험상품이 장기·고정금리이기 때문에 시중금리가 급변할 때 이를 신속하게 계약자에게 반영하지 못하는 현실을 감안하여 시중의 지표금리에 연동하여 예정이율을 적용 할 수 있도록 일정기간마다 공표되는 변동이율. 자산운용수익률과 국고채수익률, 회사채수익률, 정기예금이율과 같은 시중의 지표금리에 연동하여 예정이율을 적용할 수 있도록 일정기간마다 공표되는 변동이율",퇴직연금
국제회계기준,미국의 재무회계기준(FAS)에 대응하여 유럽국가 주도의 국제회계기준위원회(IASC)에 의해 추진하고 있는 통일화된 회계기준. 퇴직연금제도는 19조의 적용을 받음,퇴직연금
근로자퇴직급여보장법,"근로자의 안정적인 노후생활 보장을 위해 2005년 12월 1일부터 시행하는 법. 확정급여형(DB) 퇴직연금제도, 확정기여형(DC) 퇴직연금제도, 퇴직금제도, 개인퇴직형퇴직연금을 아우르고 있음",퇴직연금
기대수익률,각각의 투자에 따라 실제로 실현될 가능성이 있는 수익률의 값들을 평균한 값. 실제로 해당기간이 지난 후에 실현되는 수익률은 이러한 기대수익률과는 다를 수도 있음.,퇴직연금
단기금융시장,단기(통상 1년 미만) 금융자산을 거래하는 시장,퇴직연금
목표급여제도,"미국 등의 국가에서 사용되는 확정급여형(DB)제도와 금전구입제도의 중간형태의 제도. 부담금을 목표 소득대체율을 기초로 한 예상 퇴직급여에 의해 산출한다는 점은 확정급여형(DB)제도와 비슷하나, 실제 퇴직시점의 급여는 투자결과에 따라 변동한다 점이 다름. 부담금 납입이 강제라는 점에서는 금전구입제도와 비슷함.",퇴직연금
뮤추얼펀드 (Mutual Fund),간접투자기구의 한 종류로 회사의 재산을 자산에 운용하여 그 수익을 주주에게 배분하는 것을 목적으로 설립된 상법에 의한 주식회사를 일컬음. 투자자들이 이 펀드의 주식을 매입해 주주로서 참여하는 한편 원할 때는 언제든지 주식의 추가 발행/환매가 가능한 투자신탁,퇴직연금
부과방식 (Pay-as-you-go) ,"현재 근로세대가 퇴직 후 받게 될 연금급여 재원을 미래의 근로세대가 부담할 것이라는 전제하에서, 현재의 근로세대가 현재 퇴직세대의 연금급여지출에 필요한 재원을 당장 부담하는 방법",퇴직연금
보충부담금 ,과거근무채무를 일정기간 동안 나누어 내는 부담금,퇴직연금
기록관리(R/K; Record Keeping) ,"퇴직연금 운용관리사업자의 주요 업무 중 하나로, 퇴직연금 적립금의 운용현황을 기록, 보관, 통지하는 업무",퇴직연금
부담금 산출이율 (Valuation interest rate) ,장래의 퇴직급여 예상액을 현재 가치로 환산하여 부담금 산출할 때 적용하는 이율,퇴직연금
세제혜택 ,"세법상 세금을 감면해 주거나 세율을 낮게 책정하여 조세부담을 경감시켜 실질소득이 증가된 것과 같은 효과를 주는 것. 퇴직연금 세제혜택의 기본 형태는 부담금 비과세, 투자수익 비과세, 퇴직급여 과세임",퇴직연금
실적배당펀드 ,"자산운용 결과에 따라 실적(이익)을 배당 받는 형태의 상품. 실적배당형 상품의 특징은 운용의 결과에 대한 책임을 
고객이 지며, 결과가 고객의 몫이 된다는 것임",퇴직연금
운용보고서,"펀드가 어떻게 운용되고 투자결과가 어떠한지를 설명하는 보고서. 주요 내용은 특정 기간 중의 운용경과의 개요,
 자산/부채 등에 관한 사항, 각 유가증권의 포트폴리오에 관한 사항, 운용전문인력에 관한 사항 등임",퇴직연금
위험허용도,"투자자들의 투자 가치의 변동에 대해 감수할 수 있는 정도를 뜻하며, 일반적으로 고객들의 투자성향을 나타냄",퇴직연금
임금채권보장기금제도 ,"도산기업에서 퇴직한 근로자들의 최소한의 생활안정을 위해 체불된 퇴직前 3개월분 임금(휴업수당 포함) 및 3년분 
퇴직금을 기업의 부담금 등으로 조성한 임금채권보장기금에서 지급하는 제도",퇴직연금
적립방식 (Accumulation method) ,"퇴직연금 및 개인연금 등 사적연금에서 주로 쓰이는 방식으로 근로세대는 임금 및 소득 중 일부를 부담금으로 납부하고, 
이에 의하여 적립되는 금액과 운용수익으로 은퇴 이후의 연금을 지급받는 방법",퇴직연금
적격퇴직연금,"일본에서 1962년에 도입된 제도로서, 법인세법上 13가지 적격요건을 충족하고, 국세청에 승인을 득한 퇴직연금계약. 
2002년 4월 확정급여형퇴직연금법의 시행으로 신규설립은 금지되었으며 기존 연금은 2012년까지 확정급여형(DB)제도다른 제도로 전환하여야 함.",퇴직연금
정액분할투자,"부담금을 한꺼번에 투자하지 않고 일정금액씩 주기적으로 나누어 평균 기준가격으로 투자함으로써 기준가격 변동의
 불안정성을 일정 부분 Hedge하여 투자하는 기능으로, 주로 거액을 일시에 납입할 경우 펀드로 자금을 한번에 투입시 그 시점의 시장의 상황에 수익률이 크게 좌우되는 불안정성을 완화하기 위해 개발된 기능",퇴직연금
기산일,"퇴직연금에서는 퇴직급여 산정 기초일/퇴직금 지급에 있어서 퇴직한 날, 사고가 발생한 날 등 금액 산출을 위한 시작일 
혹은 기초일",퇴직연금
정액정기투자,"부담금을 한꺼번에 투자하지 않고 일정금액씩 주기적으로 나누어 평균기준가격으로 투자함으로써 기준가격 변동의 
불안정성을 일정부분 Hedge하여 투자하는 기능. 일시납부담금 등 주로 고액자금을 일시에 납입할 경우 펀드로 자금을 한번에 투입시 그 시점의 시장의 흐름에 수익률이 크게 좌우되는 불안정성을 완화하기 위해 개발된 기능",퇴직연금
채권형펀드,주식에는 전혀 투자하지 않고 채권 및 채권관련 파생상품에 주로 투자하여 상대적으로 안정적인 수익을 추구하는 펀드,퇴직연금
캐쉬밸런스 제도 (Cash Balance Plan) ,"확정급여형(DB)제도와 확정기여형(DC)제도의 장점을 혼합한 제도. 최소한의 퇴직급여가 정해져 있으며 기업이 적립금을 
운용한다는 점에서 확정급여형(DB)제도와 유사하고, 근로자 별로 가상계좌가 설정되며 추가수익이 발생하면 근로자에게 돌아간다는 점에서 확정기여형(DC)제도와 유사함.",퇴직연금
퇴직보험,"퇴직금제도에서 기업이 퇴직급여를 사외에 예치하고 퇴직시에 근로자가 직접 지급받을 수 있는 보험. 
2011년부터 추가 적립 및 신규 가입이 금지됨.",퇴직연금
퇴직연금제도,"기업이 임직원의 노후소득을 보장하기 위해 재직 중에 퇴직급여 재원을 별도의 금융기관에 적립하고 근로자가 퇴직할 때
 일시금 또는 연금형태로 지급하는 기업복지제도. 확정기여형과 확정급여형(DB) 퇴직연금제도가 있음.",퇴직연금
혼합형펀드,"주식형이나 채권형 이외의 펀드로 주식과 채권의 효율적 자산 배분을 통해 주식의 수익성과 채권의 안정성을 동시에 
추구하는 펀드. 주식에 상대적으로 더 많이 투자하는 주식혼합형과 채권에 상대적으로 더 많이 투자하는 채권혼합형으로 나뉨.",퇴직연금
확정급여형 퇴직연금 (Defined Benefit Plan) ,"근로자가 받게 될 퇴직급여를 사전에 연금규약에 정해진 급여공식에 의해 산출하고 부담금 수준은 적립금의 운용수익에
 따라 변동되는 퇴직연금제도",퇴직연금
확정기여형 퇴직연금 (Defined Contribution Plan) ,"사용자의 부담금 수준이 미리 확정되어 있고, 퇴직급여 수준이 개인계좌의 적립금 운용수익에 따라 변동되는 퇴직연금제도",퇴직연금
환매,"판매회사가 고객에게 매각한 수익증권을 고객의 요청에 따라 일정한 조건 (환매수수료 부과) 등으로 판매회사가 다시 
매입하는 것. 개방형 뮤추얼펀드는 언제든 환매가 가능하나, 폐쇄형 뮤추얼펀드는 만기까지 환매가 불가능함.",퇴직연금
환매수수료,"정해진 투자기간 이전에 펀드를 환매(투자자의 입장에서는 출금 또는 해지)할 때 부과되는 수수료. 수익자의 환매를 
억제함으로써 투자신탁의 운용에 안정을 기하고 환매에 따른 사무처리 비용에 충당하기 위해 징구하는 일종의 중도해지 수수료의 성격을 지님",퇴직연금